,ATC,tensor
910,E103319,"-0.06693235039710999, 0.013589097186923027, 0.13918831944465637, -0.2324151247739792, -0.5070878863334656, 0.21446725726127625, 0.014315611682832241, 0.1426563858985901, 0.0703452005982399, -0.02868521213531494, 0.022926505655050278, -0.24846923351287842, 0.5386611819267273, 0.18896204233169556, 0.10619477927684784, 0.03064338117837906, -0.2404988408088684, -0.04672108218073845, 0.009719394147396088, -0.09778695553541183, -0.40441611409187317, -0.24598100781440735, 0.06832895427942276, 0.23240236937999725, 0.36333584785461426, 0.10095520317554474, -0.15092290937900543, -0.006161287892609835, -0.044700950384140015, 0.037240419536828995, 0.008628486655652523, 0.04622212052345276, 0.020530780777335167, 0.03910697624087334, -0.12556545436382294, 0.014072165824472904, 0.19382505118846893, -0.10457692295312881, -0.07723795622587204, -0.24266338348388672, -0.019223090261220932, 0.016500618308782578, -0.0032313349656760693, 0.19256365299224854, 0.0653894916176796, -0.05469214543700218, 0.18850257992744446, -0.11361231654882431, -0.03520897030830383, -0.022635426372289658, -0.016523132100701332, -0.06019340455532074, -0.1301535815000534, 0.029498957097530365, -0.10736675560474396, -0.09019241482019424, 0.07439727336168289, 0.02716580405831337, -0.090643510222435, -0.06590219587087631, -0.03917259722948074, -0.18305815756320953, -0.5284637212753296, -0.02456347830593586]"
911,E10339,"-0.21112768352031708, -0.14416901767253876, 0.1423719972372055, 0.016838625073432922, -0.639312744140625, 0.09508957713842392, -0.04479541629552841, 0.03502027690410614, -0.1376142054796219, -0.1123373731970787, 0.05175164341926575, 0.07681524008512497, -0.03234909847378731, -0.08013970404863358, -0.13692355155944824, -0.08425440639257431, -0.0750293880701065, -0.024386141449213028, -0.03411877900362015, -0.01131040882319212, -0.17407242953777313, -0.3136598765850067, -0.0786052942276001, -0.14292335510253906, 0.04590820521116257, 0.025564653798937798, -0.03461445868015289, -0.13284198939800262, 0.11403867602348328, 0.0029458620119839907, 0.011081862263381481, 0.01963995024561882, 0.01650024950504303, 0.007705529686063528, -0.05040470510721207, 0.18289275467395782, -0.2870144248008728, 0.09976329654455185, -0.1660395711660385, 0.17114946246147156, -0.03712858632206917, -0.21166834235191345, 0.05705663189291954, -0.1082669273018837, 0.06577453762292862, -0.08027296513319016, -0.06702735275030136, 0.05937634035944939, 0.0593743622303009, -0.04982668161392212, -0.021508662030100822, 0.10049805045127869, -0.18791815638542175, -0.06336722522974014, 0.17912031710147858, 0.017211560159921646, 0.109794981777668, -0.10388615727424622, 0.23762354254722595, 0.24053876101970673, -0.33196568489074707, -0.12870675325393677, -0.7709328532218933, 0.2675040364265442]"
912,E103393,"-0.05695176124572754, -0.09915546327829361, 0.4522528052330017, -0.038943398743867874, -0.5132400393486023, 0.19780220091342926, -0.009354585781693459, 0.024804456159472466, -0.10671211034059525, -0.05723075941205025, 0.07501274347305298, 0.1411631554365158, -0.01348570641130209, 0.24433009326457977, 0.4038107097148895, 0.02683294005692005, 0.1290310025215149, 0.03525526821613312, -0.13995946943759918, -0.10341332852840424, -0.0010408716043457389, -0.2803451418876648, 0.17830553650856018, 0.06487240642309189, -0.11939030885696411, 0.14525458216667175, -0.09067294001579285, 0.10929446667432785, 0.09597457945346832, -0.07663404941558838, 6.76261552143842e-05, 0.2920195758342743, 0.2432986944913864, -0.038047920912504196, -0.15956762433052063, -0.18958894908428192, 0.22679100930690765, -0.2098952680826187, 0.050255488604307175, -0.3808625042438507, 0.019084304571151733, 0.044764477759599686, 0.0018080060835927725, -0.12251001596450806, -0.028968410566449165, -0.005260649137198925, -0.016269052401185036, -0.09948943555355072, -0.003293684683740139, 0.03647596761584282, -0.19117051362991333, 0.045144643634557724, -0.08254930377006531, 0.14228175580501556, 0.4713909924030304, 0.04915117099881172, 0.11661268770694733, 0.005574006587266922, -0.0008602203452028334, -0.007853517308831215, -0.21242372691631317, -0.31413379311561584, -0.603591799736023, -0.15806883573532104]"
913,E103512,"-0.03879446163773537, -0.0807938277721405, 0.07255160808563232, 0.04312896728515625, -0.42373791337013245, 0.020517168566584587, 0.08387810736894608, 0.29931795597076416, 0.06865281611680984, -0.00041555281495675445, -0.054352886974811554, -0.11354261636734009, 0.03573601320385933, 0.3534837067127228, 0.5206376314163208, 0.14749909937381744, -0.2208758443593979, -0.07771909981966019, -0.23516620695590973, -0.11723198741674423, -0.44806092977523804, -0.29112425446510315, 0.0580265037715435, 0.21764977276325226, 0.11322805285453796, -0.10187133401632309, 0.036237288266420364, 0.06415916979312897, -0.026950258761644363, -0.032071974128484726, -0.18850311636924744, 0.1818944662809372, 0.24536119401454926, 0.0928383618593216, -0.023445140570402145, 0.03704063966870308, 0.05998881533741951, -0.12900041043758392, 0.16574008762836456, 0.07535877823829651, -0.14135827124118805, -0.01921030692756176, 0.023126881569623947, 0.05098076909780502, 0.01596548780798912, -0.046256810426712036, 0.18213099241256714, -0.002137699630111456, 0.022994019091129303, -0.05339634418487549, -0.07316935062408447, 0.07346106320619583, -0.20805440843105316, 0.010685169138014317, -0.12853646278381348, -0.20053128898143768, 0.190988689661026, -0.1584695726633072, -0.12711195647716522, 0.16761033236980438, -0.11893738061189651, -0.1592540293931961, -0.5544614195823669, -0.40295299887657166]"
914,E103513,"0.029417848214507103, 0.0077232071198523045, 0.282500684261322, 0.4093201756477356, -0.4220300316810608, 0.3293956220149994, -0.09515030682086945, 0.14853055775165558, 0.09974487870931625, -0.15734654664993286, -0.1087794378399849, 0.17309072613716125, -0.18952079117298126, 0.02458629384636879, 0.3147277534008026, -0.35213279724121094, -0.03771115094423294, 0.09106574207544327, -0.17431864142417908, -0.04142189025878906, 0.13379773497581482, -0.049209367483854294, -0.01298679318279028, -0.046663325279951096, 0.27495378255844116, 0.04051515460014343, 0.14384128153324127, 0.02592555806040764, 0.09942905604839325, 0.476180762052536, -0.11376170814037323, -0.18659697473049164, 0.04487578198313713, 0.20741289854049683, -0.08397608995437622, -0.17927411198616028, -0.21429412066936493, -0.19562534987926483, 0.14640721678733826, 0.15277940034866333, -0.052469972521066666, 0.09982313960790634, 0.09346025437116623, 0.3193833827972412, -0.13928939402103424, 0.12637387216091156, -0.08237043768167496, 0.24736623466014862, -0.012503392063081264, -0.414258748292923, 0.2628934681415558, 0.03352793678641319, -0.07114589214324951, -0.05102889984846115, 0.11017235368490219, 0.10878343880176544, -0.21052229404449463, -0.08725040405988693, 0.07981949299573898, 0.13285750150680542, 0.1525716930627823, -0.5556210875511169, -0.77447110414505, 0.4237196147441864]"
915,E103519,"0.10791151970624924, -0.17222175002098083, -0.11495877802371979, 0.20857378840446472, -0.4548574388027191, 0.4570102393627167, 0.2334093302488327, 0.04656887426972389, -0.3178575932979584, -0.10480569303035736, 0.15317390859127045, 0.04899681732058525, -0.08710721880197525, -0.0007812217809259892, -0.003527692286297679, 0.17663373053073883, -0.35289713740348816, 0.2589291036128998, -0.09227559715509415, 0.01936068758368492, -0.2781839966773987, -0.36580634117126465, -0.18510393798351288, 0.0013161139795556664, 0.12911733984947205, 0.06269969791173935, 0.18670974671840668, 0.10514730960130692, -0.08711321651935577, 0.02185407280921936, 0.00016246589075308293, 0.10814978182315826, 0.20570732653141022, 0.22631202638149261, -0.07124214619398117, 0.31650832295417786, 0.19284862279891968, -0.2423325777053833, -0.20346620678901672, 0.08466537296772003, -0.0822523683309555, 0.09739623963832855, 0.05756772309541702, -0.07968959957361221, -0.07313703000545502, 0.058003004640340805, -0.08964569866657257, -0.09867836534976959, -0.20551590621471405, 0.4537361264228821, 0.12573489546775818, 0.04567236080765724, -0.24107074737548828, -0.06627664715051651, 0.13822296261787415, -0.0891427993774414, 0.23992903530597687, 0.08058513700962067, -0.2261435091495514, 0.1680283397436142, -0.5063776969909668, -0.2717040777206421, -0.6033689975738525, 0.39679184556007385]"
916,E10359,"-0.0845809131860733, 0.18098574876785278, 0.04859798774123192, 0.004481707699596882, -0.41824811697006226, 0.2415914684534073, 0.30669862031936646, 0.06017753854393959, -0.41374996304512024, -0.1399654746055603, 0.09503146260976791, -0.031979646533727646, 0.01608452759683132, -0.245451882481575, -0.051933854818344116, 0.39490920305252075, -0.21859557926654816, 0.0417410172522068, -0.04823919013142586, -0.0760497897863388, -0.14926950633525848, -0.08918194472789764, 0.07278171181678772, -0.3453260660171509, -0.26978448033332825, 0.0843159630894661, 0.24109867215156555, 0.017390267923474312, -0.014190387912094593, -0.12032278627157211, -0.14902947843074799, 0.1761447638273239, -0.3568305969238281, 0.28584998846054077, 0.2344547063112259, 0.09311182796955109, 0.1576041430234909, -0.28412118554115295, 0.15455058217048645, -0.21083131432533264, -0.021873101592063904, 0.3451607823371887, 0.09767592698335648, -0.2427900731563568, 0.24714823067188263, 0.09294885396957397, -0.1626952439546585, -0.03867596387863159, 0.16265271604061127, 0.12966187298297882, -0.0748109444975853, 0.20237889885902405, -0.28589117527008057, 0.16251735389232635, -0.18973848223686218, -0.0196059662848711, 0.0616278275847435, 0.020078301429748535, 0.20830637216567993, 0.25546228885650635, -0.39263516664505005, -0.22531767189502716, -0.6042309999465942, 0.2862248420715332]"
917,E103591,"-0.28198933601379395, -0.17275361716747284, 0.07387931644916534, 0.02760530263185501, -0.6047715544700623, 0.049659136682748795, 0.2806706428527832, 0.13003234565258026, -0.306890606880188, -0.19212517142295837, 0.07617922872304916, 0.28155815601348877, -0.12743660807609558, 0.12877459824085236, 0.2820598781108856, 0.09637026488780975, -0.33929410576820374, 0.12925687432289124, -0.1545623391866684, -0.20894820988178253, -0.32782360911369324, 0.15731403231620789, -0.24775908887386322, 0.1753378063440323, 0.13985179364681244, 0.08868389576673508, -0.18981395661830902, 0.012039430439472198, 0.35961854457855225, -0.2853510081768036, 0.3523525595664978, 0.21312002837657928, -0.3176861107349396, 0.3781125545501709, -0.2574867904186249, -0.10412807017564774, 0.1599343866109848, -0.07490023970603943, -0.12542195618152618, 0.2710612416267395, 0.15344922244548798, 0.1569991260766983, 0.258431077003479, 0.13588103652000427, 0.14341770112514496, 0.15616753697395325, 0.14373241364955902, -0.15638354420661926, 0.11606280505657196, -0.08028951287269592, -0.1508365273475647, -0.007048964500427246, -0.08971160650253296, -0.10202209651470184, -0.21891842782497406, 0.22213488817214966, 0.3345598578453064, -0.08608535677194595, 0.0613032765686512, -0.15995658934116364, 0.04728129878640175, -0.16379310190677643, -0.7324877977371216, -0.08848362416028976]"
918,E103592,"-0.19617871940135956, 0.14921897649765015, 0.14261534810066223, -0.1069084033370018, -0.12189460545778275, 0.0738844946026802, 0.056701865047216415, -0.011346116662025452, -0.13384851813316345, -0.09543508291244507, 0.11410843580961227, -0.09353046119213104, 0.04324886575341225, -0.07970604300498962, 0.2280224859714508, -0.09965769201517105, -0.06857956945896149, -0.03554442524909973, -0.15688486397266388, -0.07996390759944916, -0.15266984701156616, -0.11782002449035645, 0.08398551493883133, 0.11219006776809692, 0.08360002189874649, -0.11633096635341644, -0.025453681126236916, -0.052913863211870193, -0.0515633188188076, -0.0191685501486063, -0.2075335532426834, 0.0029401141218841076, -0.054865267127752304, 0.150045707821846, -0.13669350743293762, 0.08820679783821106, 0.034783877432346344, -0.05558837950229645, 0.056848715990781784, 0.06121319159865379, -0.03275369480252266, 0.017588790506124496, -0.055623218417167664, -0.1003323346376419, 0.05359770357608795, 0.07328955829143524, 0.11127997934818268, -0.0864265114068985, -0.03839956223964691, -0.003848122665658593, -0.06253015995025635, 0.05195767059922218, -0.0987422987818718, 0.1429448276758194, -0.08731132745742798, -0.04337151348590851, 0.28607410192489624, 0.19243380427360535, -0.12456970661878586, -0.0983709916472435, -0.029437780380249023, -0.42939433455467224, -0.43349364399909973, 0.06953877955675125]"
919,E103593,"-0.06975622475147247, -0.23933929204940796, 0.24572670459747314, 0.0334121473133564, -0.24386470019817352, 0.06029538810253143, 0.1027635857462883, 0.04305305331945419, -0.510360598564148, -0.1713102161884308, -0.13153009116649628, -0.07124725729227066, 0.05768043175339699, -0.2364676296710968, 0.14652100205421448, -0.20311994850635529, -0.04194853827357292, 0.05568714067339897, -0.011935650371015072, -0.09238214790821075, -0.34483781456947327, -0.47089430689811707, -0.0733923465013504, -0.015836864709854126, 0.18618835508823395, -0.07234542071819305, -0.22748622298240662, -0.36062800884246826, -0.003723690751940012, -0.2527809143066406, 0.3120865523815155, 0.009465082548558712, 0.11513857543468475, 0.023999201133847237, -0.049727555364370346, -0.021317346021533012, -0.08291388303041458, 0.11060881614685059, -0.26151591539382935, 0.11576835811138153, 0.06373066455125809, 0.25684764981269836, -0.11731164157390594, 0.21936555206775665, -0.05976463854312897, 0.027925042435526848, -0.12110091745853424, 0.05728050321340561, 0.08537014573812485, -0.09229563176631927, 0.04193883761763573, 0.015072141773998737, -0.3372798264026642, -0.07350825518369675, 0.26291781663894653, -0.08210021257400513, -0.03212735429406166, -0.23302102088928223, -0.07141206413507462, 0.1063951626420021, 0.01452535018324852, -0.2848040461540222, -0.6299352645874023, 0.39942073822021484]"
920,E103599,"-0.09504354745149612, -0.01473198551684618, 0.21969833970069885, -0.14487077295780182, -0.3626398742198944, 0.4629423916339874, 0.2222522795200348, -0.08291264623403549, -0.05312468484044075, -0.17560528218746185, 0.6103342175483704, -0.19131582975387573, -0.13809750974178314, 0.03414147347211838, 0.2682056128978729, -0.05066513270139694, 0.07883351296186447, -0.05366318300366402, -0.03690227121114731, 0.041604477912187576, -0.4420349895954132, -0.0656454935669899, -0.1890590935945511, -0.04781670123338699, 0.04527223855257034, 0.08206741511821747, 0.13188757002353668, -0.16623468697071075, 0.15309052169322968, -0.005399642046540976, 0.019702695310115814, -0.040264151990413666, -0.08633843809366226, 0.11070851236581802, -0.026830343529582024, 0.12154852598905563, -0.09426722675561905, 0.06107022985816002, -0.17001916468143463, 0.17171098291873932, 0.03576437756419182, 0.05925103276968002, -0.09140835702419281, 0.029404236003756523, -0.024064699187874794, 0.30585452914237976, -0.1849111020565033, 0.010719140991568565, 0.05465789511799812, 0.08499214798212051, -0.019487103447318077, -0.023868979886174202, -0.17350076138973236, 0.05813680216670036, -0.20941177010536194, -0.11810328811407089, -0.014528810046613216, -0.12564729154109955, -0.010438746772706509, 0.03323135897517204, -0.2514533996582031, -0.16276445984840393, -0.5258989334106445, -0.12972621619701385]"
921,E1036,"0.08297790586948395, 0.11328384280204773, 0.023911699652671814, 0.20207099616527557, -0.49661239981651306, 0.16322344541549683, 0.11169353872537613, -0.13696715235710144, 0.19440041482448578, -0.3589325547218323, 0.11566725373268127, -0.11807738244533539, 0.12002261728048325, -0.02166871726512909, 0.1433858573436737, -0.13634608685970306, -0.012787441723048687, 0.1937670111656189, 0.02088681235909462, -0.011145206168293953, -0.44615185260772705, -0.19337573647499084, 0.046153295785188675, -0.1305686980485916, 0.1108333095908165, 0.18154233694076538, 0.11946532130241394, 0.10682966560125351, -0.028531765565276146, 0.19212660193443298, -0.022090541198849678, 0.00875005405396223, 0.16681165993213654, 0.08650775998830795, -0.0328490324318409, -0.24912895262241364, 0.09048289060592651, -0.19531726837158203, -0.0721302255988121, -0.32757580280303955, 0.3976544439792633, 0.14661899209022522, -0.04860277101397514, 0.07988706976175308, 0.018103785812854767, -0.007380876690149307, -0.2576202154159546, 0.1828383505344391, 0.0853610634803772, 0.11975914239883423, 0.06041484698653221, 0.019456837326288223, -0.11984427273273468, -0.05531959980726242, 0.1780880093574524, -0.19271725416183472, -0.12219846248626709, -0.11179345846176147, -0.0862012505531311, -0.14701135456562042, -0.04527376592159271, 0.05933929607272148, -0.6488177180290222, -0.0448613278567791]"
922,E1039,"-0.1728929877281189, -0.08795078098773956, 0.27860701084136963, -0.0006223518867045641, -0.4903240501880646, 0.3244093358516693, 0.13243766129016876, -0.1794029027223587, -0.09676973521709442, -0.20595189929008484, 0.19039376080036163, 0.0039046327583491802, -0.10041651129722595, -0.24360929429531097, 0.24595129489898682, -0.2835834324359894, -0.0230709295719862, 0.007277387659996748, 0.0017922307597473264, -0.06706800311803818, -0.3429575562477112, 0.04594268649816513, -0.048904899507761, 0.061008237302303314, 0.24851448833942413, 0.029942579567432404, -0.05382329225540161, 0.016600996255874634, 0.2287033498287201, 0.30144596099853516, -0.08354128897190094, 0.013682316057384014, 0.14838320016860962, 0.22481131553649902, -0.16837310791015625, -0.22446046769618988, 0.1366322934627533, -0.38912785053253174, -0.14767135679721832, -0.29144665598869324, 0.11763644218444824, -0.09051003307104111, -0.10066615790128708, 0.07304489612579346, -0.062165677547454834, -0.0625985860824585, -0.2727231979370117, 0.22220449149608612, -0.26839688420295715, -0.25687164068222046, 0.05900208652019501, -0.0905044674873352, -0.13568997383117676, -0.07900077849626541, 0.3865632116794586, 0.018810607492923737, -0.22057057917118073, -0.41860008239746094, -0.35460349917411804, 0.22951221466064453, -0.2612347900867462, -0.20353105664253235, -0.7118924856185913, 0.3114108741283417]"
923,E1040,"0.0065614888444542885, 0.024584855884313583, 0.24566246569156647, 0.077776238322258, -0.3151754140853882, -0.057805586606264114, 0.05230509862303734, 0.11625313758850098, -0.09254305064678192, -0.13732817769050598, 0.09433805197477341, -0.018729135394096375, -0.01982937566936016, -0.033375661820173264, -0.06175997108221054, -0.11816403269767761, 0.00605201767757535, -0.023969434201717377, 0.013601073995232582, 0.005068475380539894, -0.419169157743454, -0.2623231112957001, 0.05264393612742424, -0.06649791449308395, -0.17567546665668488, -0.11111189424991608, 0.13417313992977142, 0.14658713340759277, 0.08892648667097092, 0.030706392601132393, 0.057031381875276566, -0.004247795790433884, -0.2597753703594208, 0.2075076848268509, -0.1408025473356247, -0.19113174080848694, -0.09026043117046356, -0.047038059681653976, 0.008369890972971916, 0.0512615442276001, 0.13858087360858917, 0.11762132495641708, -0.06411122530698776, -0.13551084697246552, -0.08265766501426697, -0.031010238453745842, 0.030306261032819748, -0.04785339906811714, 0.027088191360235214, -0.041364263743162155, 0.02710520103573799, 0.062065474689006805, -0.10412999242544174, 0.024271903559565544, 0.06418991088867188, -0.0072446465492248535, -0.10305953025817871, -0.09747076034545898, 0.0009916785638779402, -0.061925504356622696, -0.07542829215526581, 0.02443682588636875, -0.3559085726737976, -0.07959026843309402]"
925,E1042,"-0.05547899752855301, 0.08160918205976486, 0.04231460765004158, 0.1416381150484085, -0.1963636428117752, 0.18561482429504395, 0.13563624024391174, 0.20705419778823853, -0.10246327519416809, -0.1070365235209465, 0.040219057351350784, 0.03983711078763008, -0.08457785844802856, -0.03249646723270416, 0.4745315909385681, -0.1050560399889946, -0.030727285891771317, 0.03662674129009247, -0.18088418245315552, -0.11013994365930557, -0.465954065322876, -0.20401334762573242, -0.14444193243980408, 0.059051789343357086, 0.13996121287345886, 0.06680580973625183, -0.1108178123831749, -0.6895939111709595, -0.1027231439948082, 0.09248752146959305, 0.056741490960121155, 0.02230251207947731, -0.04498615488409996, 0.05393543466925621, -0.01658511720597744, -0.034496355801820755, 0.059618473052978516, -0.01407527830451727, -0.15437598526477814, -0.3409922420978546, -0.11952628940343857, -0.10354655981063843, -0.013817833736538887, 0.06565575301647186, 0.10906627029180527, 0.19894836843013763, 0.10900809615850449, 0.11064030975103378, 0.1647808700799942, 0.09854049980640411, 0.09373638778924942, 0.03734579309821129, -0.054363396018743515, 0.06553805619478226, 0.14558909833431244, 0.0205265861004591, 0.12847800552845, 0.11956124007701874, -0.18903757631778717, -0.0493287555873394, -0.08021902292966843, -0.2326531857252121, -0.5669342279434204, 0.16456235945224762]"
926,E1043,"-0.029818903654813766, 0.09112455695867538, 0.14546804130077362, -0.18307062983512878, -0.28149980306625366, 0.18466021120548248, -0.019812744110822678, -0.05305046960711479, -0.11287768185138702, -0.1962050497531891, 0.20114494860172272, -0.24946846067905426, 0.15619955956935883, 0.23033975064754486, 0.3456147313117981, 0.16187246143817902, -0.30780065059661865, -0.097150519490242, -0.2761096656322479, -0.27568700909614563, -0.3966427743434906, -0.2405298352241516, 0.1336824744939804, -0.04948350042104721, -0.09033280611038208, -0.09120811522006989, 0.09785483777523041, -0.013449188321828842, -0.04038398340344429, 0.09094949066638947, -0.09916726499795914, -0.0792272761464119, 0.02626616321504116, -0.1323993057012558, 0.1167992427945137, 0.12903955578804016, 0.13718903064727783, 0.06740070879459381, 0.026127198711037636, -0.4045553207397461, 0.122569240629673, 0.057630449533462524, 0.12871143221855164, 0.046768445521593094, -0.1402844786643982, 0.11147382110357285, 0.12727949023246765, 0.05302762985229492, 0.24559742212295532, -0.07424722611904144, -0.14618033170700073, -0.04626985266804695, -0.1590113639831543, 0.0951264500617981, -0.04278634861111641, -0.05579666048288345, 0.15645301342010498, 0.18371877074241638, -0.006760155316442251, -0.04352587088942528, -0.22401206195354462, -0.010720118880271912, -0.5842231512069702, 0.20156940817832947]"
927,E1051,"-0.3086947500705719, -0.217693030834198, 0.19162115454673767, -0.11823191493749619, -0.5768447518348694, 0.08967503905296326, -0.06367439776659012, -0.20396430790424347, -0.5046619772911072, -0.04784190282225609, 0.03168509528040886, -0.09015661478042603, 0.17581208050251007, -0.30901607871055603, 0.09676923602819443, 0.06105196103453636, -0.34078627824783325, 0.1146966889500618, -0.15478771924972534, 0.16884611546993256, -0.3981647491455078, -0.18498224020004272, -0.011819913052022457, 0.13518695533275604, -0.041959039866924286, 0.13860924541950226, 0.22225302457809448, -0.0134153813123703, 0.025076674297451973, -0.023132292553782463, -0.14086055755615234, 0.07032635807991028, -0.08259189128875732, -0.02412855252623558, -0.08207511901855469, 0.3433630168437958, -0.03520631417632103, -0.1139766275882721, 0.07803512364625931, -0.2883993983268738, -0.08845651149749756, -0.11075527966022491, -0.29464447498321533, 0.36341267824172974, -0.17792917788028717, 0.22421333193778992, 0.06364819407463074, 0.09560739994049072, -0.06892590969800949, 0.17807596921920776, 0.06869659572839737, -0.09860998392105103, -0.06208422780036926, 0.11694173514842987, 0.008832613006234169, -0.09566009789705276, -0.24490311741828918, -0.2274179756641388, -0.07973111420869827, -0.05570255219936371, -0.3065170645713806, -0.20865005254745483, -0.6772316098213196, -0.16686353087425232]"
929,E1059,"-0.342624306678772, 0.09639812260866165, 0.2008512318134308, -0.18997319042682648, -0.19624242186546326, 0.10944277793169022, -0.05325612053275108, -0.05945402383804321, -0.00590438861399889, -0.5976160764694214, 0.1422799825668335, 0.07041696459054947, 0.17458921670913696, 0.06638327986001968, -0.17777293920516968, 0.12869159877300262, -0.20878146588802338, 0.0405416265130043, -0.3699541389942169, -0.054419077932834625, -0.1141945943236351, -0.23180299997329712, -0.06923925876617432, 0.1442246437072754, 0.08729171007871628, 0.057920120656490326, -0.040025416761636734, -0.11281219124794006, 0.17286796867847443, 0.16365936398506165, -0.16575941443443298, 0.02824871800839901, -0.07881955802440643, -0.030754506587982178, -0.27746227383613586, 0.18318557739257812, 0.1803809553384781, -0.026218675076961517, 0.07042273879051208, 0.07080966979265213, -0.011379499919712543, 0.09947940707206726, -0.2762545347213745, -0.07981068640947342, 0.2352217584848404, -0.0676318034529686, 0.2878108322620392, -0.07292996346950531, -0.04649809002876282, -0.0429723896086216, 0.025373034179210663, -0.13365575671195984, -0.09549170732498169, -0.03651107847690582, 0.11174014210700989, -0.016573134809732437, -0.14909327030181885, -0.0940476655960083, -0.17765510082244873, -0.16702009737491608, -0.13928939402103424, -0.24997514486312866, -0.31821390986442566, -0.17733149230480194]"
930,E10610,"-0.11075453460216522, 0.16306021809577942, 0.293537437915802, -0.11637481302022934, -0.580450177192688, 0.10413529723882675, 0.31301966309547424, -0.2048763930797577, -0.1481158584356308, 0.12841534614562988, 0.19357603788375854, -0.05802112817764282, 0.11292589455842972, -0.005991759710013866, 0.0074533503502607346, -0.05286885052919388, -0.17568963766098022, -0.1908084750175476, -0.019063863903284073, -0.22768333554267883, -0.16596367955207825, -0.18597860634326935, 0.13441547751426697, 0.2034168243408203, 0.10518815368413925, 0.021507179364562035, -0.10286954045295715, -0.18315380811691284, 0.2183472216129303, -0.11397841572761536, -0.012335245497524738, -0.1034652441740036, -0.1655060201883316, 0.20170573890209198, -0.27326011657714844, 0.1895361989736557, 0.21349185705184937, -0.2057967185974121, -0.12177221477031708, 0.1623721718788147, -0.11697601526975632, -0.107728011906147, -0.1550043821334839, 0.24627898633480072, 0.10264954715967178, -0.198438361287117, 0.21089786291122437, -0.06722070276737213, 0.08067436516284943, 0.010799926705658436, -0.10651708394289017, 0.025188276544213295, -0.1720033586025238, 0.15205684304237366, -0.18170422315597534, 0.12360673397779465, -0.06435909867286682, 0.03643440827727318, -0.2542709708213806, -0.16056014597415924, -0.034664951264858246, 0.011980615556240082, -0.7369884252548218, -0.014002492651343346]"
931,E10618,"0.14475427567958832, -0.12872810661792755, 0.00016164015687536448, -0.157170832157135, -0.6296552419662476, 0.17875494062900543, 0.157521054148674, 0.13288483023643494, 0.018856720998883247, -0.3718935549259186, 0.25122880935668945, -0.0555868037045002, 0.06839796900749207, 0.1761285960674286, 0.07551005482673645, 0.45420563220977783, 0.07904087752103806, 0.2250668853521347, -0.2415008395910263, -0.26110827922821045, -0.3294162154197693, 0.06350778788328171, 0.10335163027048111, -0.11761078983545303, 0.10029762983322144, 0.18131151795387268, 0.2583828568458557, -0.03524918481707573, -0.025278454646468163, 0.09111779183149338, 0.17899462580680847, -0.023281432688236237, -0.035323768854141235, 0.1372532993555069, 0.1308617740869522, -0.0886804535984993, 0.11262883245944977, -0.1852952539920807, 0.2227824479341507, -0.23787322640419006, -0.04415161535143852, -0.09985572099685669, -0.12258444726467133, 0.1850665658712387, -0.11159148812294006, 0.1492074579000473, -0.0673225149512291, -0.2205924093723297, 0.10705801099538803, -0.006888460833579302, 0.08688537031412125, 0.1550355851650238, -0.23288613557815552, -0.2617267072200775, -0.15505650639533997, 0.08356674015522003, -0.21926066279411316, 0.11628282815217972, -0.1707867980003357, 0.15093079209327698, -0.40320053696632385, -0.08631568402051926, -0.6139037013053894, 0.4100668728351593]"
932,E10620,"-0.06953749060630798, 0.19803035259246826, 0.2194478064775467, -0.04911872744560242, -0.5354261994361877, 0.2739243507385254, 0.09724292904138565, 0.025094177573919296, 0.0188924428075552, -0.218523308634758, 0.025993088260293007, 0.010049461387097836, -0.06802248954772949, 0.0013970340369269252, 0.032618992030620575, -0.04115099832415581, -0.10662591457366943, -0.005049249157309532, -0.07875226438045502, -0.16710728406906128, -0.28003907203674316, -0.337393194437027, 0.07294724136590958, 0.20862072706222534, 0.10137411206960678, 0.005469934549182653, 0.05335969850420952, 0.006178731564432383, -0.029327983036637306, 0.15373729169368744, 0.06293254345655441, -0.052970390766859055, -0.2680903673171997, -0.05315697193145752, -0.06550568342208862, 0.03289841488003731, -0.011033141054213047, -0.19975098967552185, -0.24917276203632355, -0.04379970580339432, -0.04510914161801338, 0.10525103658437729, -0.10174843668937683, 0.1714494824409485, 0.15822996199131012, -0.1846831738948822, 0.052241262048482895, -0.09751880168914795, -0.15386129915714264, 0.0539112314581871, -0.028102759271860123, 0.08908192068338394, -0.10844998061656952, 0.06435876339673996, 0.010993575677275658, 0.0016125577967613935, 0.0010629304451867938, -0.04083659127354622, 0.02957364171743393, -0.0686989426612854, -0.29726850986480713, -0.33909687399864197, -0.6300233006477356, -0.252959668636322]"
